(or (or _F4_0 _F6_0 _F7_0 (xor (xor _F2_0 _F3_0) _F8_0))(or _F4_1 _F6_1 _F7_1 (xor (xor _F2_1 _F3_1) _F8_1))(or _F4_2 _F6_2 _F7_2 (xor (xor _F2_2 _F3_2) _F8_2))(or _F4_3 _F6_3 _F7_3 (xor (xor _F2_3 _F3_3) _F8_3)))
Signal;SetACCState_1;_F7_0
Required;ExecFrame;De_ActivateACC_0;Signal;TurnAccoff_0;_F7_3
Provided;ExecFrame;RegulateTemp_0;Signal;RaiseACTemp_0;_F4_2
Required;ExecFrame;ComputeArmatureVoltage_1;Signal;GetFieldExcitationCurrent_1;_F8_0
Distributable;PowerWindowButton_1;_F4_0
ExecFrame;Distributable;Display_BodyControl_0;ExecFrame;DispCurCarTempCel_0;_F2_2
Signal;SetBlower2_1;_F3_3
ExecFrame;DisplayACCState_1;_F4_0
VirtualDevice;SituationManagement_BodyControl_1;_F8_2
Required;ExecFrame;CalcSlip_1;Signal;GetVehicleSpeed_1;_F4_1
VirtualDevice;ECU;BodyControl_1;VirtualDevice;SituationManagement_BodyControl_1;_F2_1
Required;ExecFrame;Apply_Rel_ForceOnBrakes_0;Signal;TurnABSoff_0;_F3_2
Required;ExecFrame;DepressAccelerator_0;Signal;GetArmatureVoltage_0;_F8_2
ExecFrame;Distributable;PowerWindowController_1;ExecFrame;ValidateRollUpCommand_1;_F2_3
Required;ExecFrame;DisplaySetSpeed_0;Signal;GetACCSpeed_0;_F3_3
ExecFrame;Distributable;Display_BodyControl_1;ExecFrame;DispExternalTempCel_1;_F7_2
ExecFrame;Distributable;AdaptiveCruiseControl_1;ExecFrame;ComputeDesiredSpeed_1;_F3_1
Provided;ExecFrame;De_ActivateABS_1;Signal;SetABSstate_1;_F3_2
Signal;TurnABSoff_0;_F6_2
Provided;ExecFrame;InputExternalTempInCel_0;Signal;SetExternalTemp_0;_F2_1
Provided;ExecFrame;InputUserSetPointInCel_1;Signal;SetUserSetPoint_1;_F8_2
ExecFrame;Unnamed_0;_F4_2
VirtualDevice;HumanMachineInterface_EngineControl_1;_F2_0
Provided;ExecFrame;CalcWheelAngularSpeed_0;Signal;SetWheelAngularSpeed_0;_F3_2
Signal;SetBrakePressure_1;_F8_3
Distributable;VirtualDevice;HumanMachineInterface_EngineControl_0;Distributable;Display_EngineControl_0;_F2_2
ExecFrame;DispCurSpeed_1;_F2_0
ExecFrame;Distributable;Input_EngineControl_0;ExecFrame;DepressAccelerator_0;_F7_0
Distributable;VirtualDevice;SituationManagement_BodyControl_0;Distributable;ClimateControl_0;_F3_3
Distributable;VirtualDevice;HumanMachineInterface_EngineControl_1;Distributable;Display_EngineControl_1;_F7_3
VirtualDevice;ECU;BrakingControl_0;VirtualDevice;HumanMachineInterface_BrakingControl_0;_F7_1
Signal;GetWheelTorque_0;_F3_2
Provided;ExecFrame;ComputeArmatureVoltage_1;Signal;SetArmatureVoltage_1;_F3_0
ExecFrame;Distributable;PowerWindowController_0;ExecFrame;DetectObstacle_0;_F7_2
Provided;ExecFrame;ReleaseAccelerator_0;Signal;SetSpeed_0;_F6_0
ExecFrame;CalcVehicleSpeed_0;_F8_1
ExecFrame;Distributable;ABSController_0;ExecFrame;CalcWheelAngularSpeed_0;_F3_1
ExecFrame;Distributable;Display_BodyControl_0;ExecFrame;DisplayACCState_0;_F3_2
ExecFrame;RegulateTemp_0;_F7_1
Required;ExecFrame;RollUp_0;Signal;Send2ControllerRollUp_0;_F3_2
ExecFrame;DetectObstacle_1;(and (or _F4_2 _F7_2)(or _F6_3 _F7_1)(or _F6_2 _F3_1)(or _F8_2 _F6_0)(or _F7_3 _F3_1))
Required;ExecFrame;Apply_Rel_ForceOnBrakes_0;Signal;TurnABSon_0;(and (or _F2_2 _F8_3)(or _F3_2 _F6_1)(or _F4_1 _F8_0)(or _F4_0 _F8_2)(or _F3_3 _F7_3))
ExecFrame;ComputeDesiredSpeed_0;(and (or _F6_1 _F8_0)(or _F8_2 _F6_2)(or _F6_3 _F7_3)(or _F8_1 _F4_0)(or _F2_1 _F4_0))
Provided;ExecFrame;De_ActivateABS_0;Signal;SetABSstate_0;(and (or _F4_3 _F7_2)(or _F7_1 _F8_3)(or _F2_1 _F4_1)(or _F3_1 _F8_3)(or _F8_1 _F2_1))
Signal;SetACCDesiredSpeed_1;(and (or _F8_0 _F2_0)(or _F2_0 _F2_1)(or _F7_2 _F6_2)(or _F8_3 _F2_3)(or _F8_1 _F8_3))
Provided;ExecFrame;ValidateRollDownCommand_1;Signal;RollDownWinYcm_1;(and (or _F8_1 _F8_2)(or _F3_3 _F7_2)(or _F4_2 _F7_2)(or _F8_0 _F7_0)(or _F8_0 _F6_0))
ExecFrame;Distributable;BrakingPedalModule_1;ExecFrame;Apply_Rel_ForceOnBrakes_1;(and (or _F6_1 _F8_0)(or _F3_3 _F4_2)(or _F4_3 _F2_2)(or _F3_0 _F2_2)(or _F3_0 _F7_1))
ExecFrame;ValidateRollDownCommand_0;(and (or _F7_2 _F4_2)(or _F3_3 _F4_3)(or _F4_3 _F6_3)(or _F7_2 _F6_0)(or _F8_1 _F6_3))
Required;ExecFrame;CalcWheelAngularSpeed_0;Signal;GetCurSlip_0;(and (or _F3_2 _F8_0)(or _F4_1 _F7_0)(or _F7_2 _F6_0)(or _F8_2 _F3_3)(or _F8_0 _F6_0))
